"filename", "language", "Vue", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"d:\examples\blog\frontend\src\views\post\CategoryManage.vue", "Vue", 72, 0, 0, 0, 2, 12, 86
"d:\examples\blog\frontend\src\views\post\PostLayout.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\PostManage.vue", "Vue", 132, 0, 0, 0, 27, 16, 175
"d:\examples\blog\frontend\src\views\post\admin\PostManage.vue", "Vue", 7, 0, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\post\admin\PostVersionManage.vue", "Vue", 7, 0, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\post\components\CategoryEdit.vue", "Vue", 69, 0, 0, 0, 15, 7, 91
"d:\examples\blog\frontend\src\views\post\components\CategorySelect.vue", "Vue", 31, 0, 0, 0, 5, 6, 42
"d:\examples\blog\frontend\src\views\post\components\PostEdit.vue", "Vue", 154, 0, 0, 0, 28, 19, 201
"d:\examples\blog\frontend\src\views\post\user\CommentManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostAttachmentManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostEdit.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostList.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\post\user\PostVersionManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\report\admin\ReportManage.vue", "Vue", 7, 0, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\report\user\ReportManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\role\RoleManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\role\RolePermissionManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\tag\TagManage.vue", "Vue", 5, 0, 0, 0, 0, 3, 8
"d:\examples\blog\frontend\src\views\user\UserAvatar.vue", "Vue", 82, 0, 0, 0, 5, 6, 93
"d:\examples\blog\frontend\src\views\user\UserBehaviorManage.vue", "Vue", 243, 0, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\user\UserPassword.vue", "Vue", 98, 0, 0, 0, 6, 5, 109
"d:\examples\blog\frontend\src\views\user\UserProfile.vue", "Vue", 59, 0, 0, 0, 0, 5, 64
"d:\examples\blog\frontend\src\views\user\UserRoleManage.vue", "Vue", 243, 0, 0, 0, 17, 37, 297
"d:\examples\blog\frontend\src\views\user\UserSetting.vue", "Vue", 367, 0, 0, 0, 30, 53, 450
"d:\examples\blog\frontend\src\views\user\admin\UserManage.vue", "Vue", 7, 0, 0, 0, 0, 3, 10
"d:\examples\blog\frontend\src\views\user\admin\UserSettingManage.vue", "Vue", 7, 0, 0, 0, 0, 3, 10
"Total", "-", 4564, 1707, 54, 16, 794, 1030, 8165
